"","x"
"1",2011.18579182522
"2",2011.18579325216
"3",2011.18581180238
"4",2011.18583035261
"5",2011.18584890284
"6",2011.18585032978
"7",2011.18586888001
"8",2011.18588743024
"9",2011.18590598047
"10",2011.18590740741
"11",2011.18592595764
"12",2011.18594450786
"13",2011.18596305809
"14",2011.18596448503
"15",2011.18598303526
"16",2011.18600158549
"17",2011.18602013572
"18",2011.18602156266
"19",2011.18604011289
"20",2011.18605866312
"21",2011.18607721334
"22",2011.18607864028
"23",2011.18609719051
"24",2011.18611574074
"25",2011.18612002156
"26",2011.1861214485
"27",2011.18612287544
"28",2011.18612430238
"29",2011.18612572933
"30",2011.18612715627
"31",2011.18612858321
"32",2011.18613001015
"33",2011.18613143709
"34",2011.18613286403
"35",2011.18613429097
"36",2011.18613571791
"37",2011.18613714485
"38",2011.18613857179
"39",2011.18613999873
"40",2011.18614142567
"41",2011.18614285261
"42",2011.18614427955
"43",2011.18614570649
"44",2011.18614713343
"45",2011.18614856038
"46",2011.18614998732
"47",2011.18615141426
"48",2011.1861528412
"49",2011.18615426814
"50",2011.18615569508
"51",2011.18615712202
"52",2011.18615854896
"53",2011.1861599759
"54",2011.18616140284
"55",2011.18616282978
"56",2011.18616425672
"57",2011.18616568366
"58",2011.1861671106
"59",2011.18616853754
"60",2011.18616996449
"61",2011.18617139143
"62",2011.18617281837
"63",2011.18617424531
"64",2011.18617567225
"65",2011.18617709919
"66",2011.18617852613
"67",2011.18617995307
"68",2011.18618138001
"69",2011.18618280695
"70",2011.18618423389
"71",2011.18618566083
"72",2011.18618708777
"73",2011.18618851471
"74",2011.18618994165
"75",2011.18619136859
"76",2011.18619279554
"77",2011.18619422248
"78",2011.18619564942
"79",2011.18619707636
"80",2011.1861985033
"81",2011.18619993024
"82",2011.18620135718
"83",2011.18620278412
"84",2011.18620421106
"85",2011.186205638
"86",2011.18620706494
"87",2011.18620849188
"88",2011.18620991882
"89",2011.18621134576
"90",2011.1862127727
"91",2011.18621419964
"92",2011.18621562659
"93",2011.18621705353
"94",2011.18621848047
"95",2011.18621990741
"96",2011.18622133435
"97",2011.18622276129
"98",2011.18622418823
"99",2011.18622561517
"100",2011.18622704211
"101",2011.18622846905
"102",2011.18622989599
"103",2011.18623132293
"104",2011.18623274987
"105",2011.18623417681
"106",2011.18623560375
"107",2011.1862370307
"108",2011.18623845764
"109",2011.18623988458
"110",2011.18624131152
"111",2011.18624273846
"112",2011.1862441654
"113",2011.18624559234
"114",2011.18624701928
"115",2011.18624844622
"116",2011.18624987316
"117",2011.1862513001
"118",2011.18625272704
"119",2011.18625415398
"120",2011.18625558092
"121",2011.18625700786
"122",2011.1862584348
"123",2011.18625986175
"124",2011.18626128869
"125",2011.18626271563
"126",2011.18626414257
"127",2011.18626556951
"128",2011.18626699645
"129",2011.18626842339
"130",2011.18626985033
"131",2011.18627127727
"132",2011.18627270421
"133",2011.18627413115
"134",2011.18627555809
"135",2011.18627698503
"136",2011.18627841197
"137",2011.18627983891
"138",2011.18628126585
"139",2011.1862826928
"140",2011.18628411974
"141",2011.18628554668
"142",2011.18628697362
"143",2011.18628840056
"144",2011.1862898275
"145",2011.18629125444
"146",2011.18629268138
"147",2011.18629410832
"148",2011.18629553526
"149",2011.1862969622
"150",2011.18629838914
"151",2011.18629981608
"152",2011.18630124302
"153",2011.18630266996
"154",2011.18630409691
"155",2011.18630552385
"156",2011.18630695079
"157",2011.18630837773
"158",2011.18630980467
"159",2011.18631123161
"160",2011.18631265855
"161",2011.18631408549
"162",2011.18631551243
"163",2011.18631693937
"164",2011.18631836631
"165",2011.18631979325
"166",2011.18632122019
"167",2011.18632264713
"168",2011.18632407407
"169",2011.18632550101
"170",2011.18632692796
"171",2011.1863283549
"172",2011.18632978184
"173",2011.18633120878
"174",2011.18633263572
"175",2011.18633406266
"176",2011.1863354896
"177",2011.18633691654
"178",2011.18633834348
"179",2011.18633977042
"180",2011.18634119736
"181",2011.1863426243
"182",2011.18634405124
"183",2011.18634547818
"184",2011.18634690512
"185",2011.18636545535
"186",2011.18638400558
"187",2011.18640255581
"188",2011.18642253298
"189",2011.18644108321
"190",2011.18645963343
"191",2011.18647821537
"192",2011.18647964231
"193",2011.18649819254
"194",2011.18651674277
"195",2011.186535293
"196",2011.18653671994
"197",2011.18655527017
"198",2011.1865738204
"199",2011.18659237062
"200",2011.18659379756
"201",2011.18661234779
"202",2011.18663089802
"203",2011.18664944825
"204",2011.18665087519
"205",2011.18666942542
"206",2011.18668797565
